description,title,url,tag
"해외진출(취업, 인턴) 관련 정보 통합 사이트",월드잡플러스,https://www.worldjob.or.kr/new_index.do,"해외 취업 전 과정 지원, 영문 이력서 작성법 제공, 학습부터 면접까지"
대외활동 공모전 사이트,캠퍼스픽,https://www.campuspick.com/,
가구 구매 사이트,마켓비,https://marketb.kr/,"홈퍼니싱, 철제가구, 다용도 철제 선반, 2만 8천원 정도 선"
가구 구매 사이트,소프시스,http://sofsys.co.kr/,"깔끔한 느낌, 책상, 책장, 선반, 서랍, 가성비가 좋음, 3만원 선에서 찾기 좋음"
가구 구매 사이트,아르네,http://www.arnestudio.co.kr/,"소파베드로 유명, 세련된 디자인, 실용성 + 디자인, 중저가 중에서 가성비, 9만원 선의 소파 가능"
가구 구매 사이트,벤트리,http://bentree.co.kr/,"원목 가구로 유명, 편안한 느낌의 나무, 아기자기, 스크레치 상품 반값, 할인 노려서 사기 좋음"
"마케팅 큐레이션 플랫폼, 마케팅 정보 구독 서비스",오픈애즈,http://www.openads.co.kr/home,
광고 전문 포털 사이트,광고정보센터,https://www.adic.or.kr/index.waple;jsessionid=4AEE314D8180A6AE94F871A5FFD5F74B,
광고 포털 사이트,TVCF,https://www.tvcf.co.kr/,
"미디어, 모바일, 마케팅, 디자인, 블록체인 분야 최신 트렌드 뉴스 및 인사이트 제공",트렌드와칭,https://trendw.kr/,"sns이슈, 트렌드, 디바이스, 서비스 "
